Fecha,PET
17/01/2021,38.268
25/01/2021,44.5707
02/02/2021,51.39
10/02/2021,50.2304
18/02/2021,51.1816
26/02/2021,58.3243
06/03/2021,55.771
14/03/2021,58.1365
22/03/2021,66.0024
30/03/2021,61.6791
07/04/2021,64.9741
15/04/2021,63.9654
23/04/2021,59.1211
01/05/2021,56.6927
09/05/2021,39.4638
17/05/2021,56.743
25/05/2021,56.2971
02/06/2021,44.345
10/06/2021,40.1934
18/06/2021,28.4925
26/06/2021,18.5766
04/07/2021,34.6035
12/07/2021,47.1364
20/07/2021,56.9749
28/07/2021,47.8333
05/08/2021,53.3118
13/08/2021,50.9991
21/08/2021,37.0231
29/08/2021,26.4306
06/09/2021,32.9026
14/09/2021,34.1863
22/09/2021,43.1545
30/09/2021,41.7368
